Sl. No.,States/UTs,2015,2016,2017,2018
1,Andhra Pradesh,6950,6791,5746,6084
2,Arunachal Pradesh,0,108,96,109
3,Assam,1999,1671,1470,2010
4,Bihar,2397,1663,1615,1453
5,Chhattisgarh,3642,3157,3178,2866
6,Goa,250,170,250,179
7,Gujarat,6656,6137,4901,4852
8,Haryana,3859,2399,2757,2715
9,Himachal Pradesh,1293,1518,1281,1147
10,Jammu & Kashmir,1498,702,1052,794
11,Jharkhand,1197,1279,1088,1249
12,Karnataka,14270,15448,14903,14544
13,Kerala,7835,8002,7913,8756
14,Madhya Pradesh,17647,16678,15797,15692
15,Maharashtra,10275,8207,7774,7028
16,Manipur,233,202,246,359
17,Meghalaya,85,37,117,2
18,Mizoram,62,23,18,33
19,Nagaland,22,0,73,87
20,Odisha,4521,3764,3792,3251
21,Punjab,1475,1325,1109,906
22,Rajasthan,3804,3887,3552,3478
23,Sikkim,143,81,154,181
24,Tamil Nadu,26573,26329,24951,26739
25,Telangana,4307,4738,4453,4001
26,Tripura,411,383,262,289
27,Uttarakhand,441,592,342,427
28,Uttar Pradesh,6263,8003,8223,9545
29,West Bengal,3395,3742,2281,2536
30,Andaman & Nicobar Islands,40,27,45,98
31,Chandigarh,0,0,0,0
32,Dadra & Nagar Haveli,0,0,0,23
33,Daman & Diu,0,16,0,0
34,Delhi,0,0,0,0
35,Lakshadweep,0,0,0,0
36,Puducherry,266,391,143,146
Total,Total,131809,127470,119582,121579
